sha256,method_count,filtered_method_count,category,package_name,is_third_party
FA26D4457A695CA8EECE2BDFDF616764B523524F56094976658982C3CC5B8F76,53393,34699,Backdoor,com.tony.shoot.newmigame,FALSE
3E169ED78124322B2A5C666DDFD39ED2A95D43B5C57BB84E3ABE394FF2489307,23532,14605,Riskware,com.jianwan.qmxyjfsb,FALSE
A5691DBB9E71FA5482111A1C8508836385D5022786DBE85DE4BCEE447429EB41,54373,32177,PUA,com.wczb.mi,FALSE
45147A1482968D8DC14471FFF057235DD09842E7DA9BE61D0958EEB2C728DEA1,37072,24927,Adware,com.m4399.gamecenter,FALSE
C47FAC9CA0654679F5680E878DF2189B907143F31B69275C9AEE6F4FCC554C69,1744,1007,Backdoor,com.ar.pedidosfree.restaurant.hornitopa,FALSE
8FA35F05C5A2E1149301C2F6AAAE5528E84B7ECF3DA94593A5ABEE7B3C3C6299,7756,5217,Riskware,com.mygolbs.mybus,FALSE
79058796590225377C0C478F6C1F46DEC8902ADD50A7E97461D0F41FBD0F1763,53316,35306,Riskware,com.qq.ac.android,FALSE
76BC31138E0C919A90EE8BA61670CF921FBC14CF78A1C94C515D235FB9CACCEC,37950,25795,Scareware,com.gufhn.plknhh,FALSE
4B5802CFEB8CEBCA6721B1A66F7C903E6CDF2EBF5B6B9E38BE3C67249D730265,52741,29993,Riskware,com.boyaa.lordland.sina,FALSE
58532F8ACA8D454932DDB4BA97F24D32B25792DC4298E487C5BD530B80B1A499,1739,1434,Adware,com.just_soft.local_music,FALSE
4AF11929518BDDBC783BFDD26A3891FCD7B8193E7307FE2B436880DE01FE79BD,7534,5197,Backdoor,com.latuapp.builder.app57fa00bf95190,FALSE
5CDC7C204A862A08ECA889ED2A0D729FA18DA3B164A82FCD36FF1118369A0340,24227,15302,Riskware,com.game.ryhj.hhsy,FALSE
333196B187127C35DEFF4CB240EF614CD9261889A98644363530F82AC7040EDC,18262,12101,Riskware,sogou.mobile.explorer,FALSE
F59C87979795676CBF10AA5C3C3C491F70C7ED0D284B65FF7549BB5983417BA7,27419,17226,Riskware,com.dscqmvb.bzgame.ledoudou,FALSE
6D27AD04B560AA5A5CA8302EA15BE7D60B4518ADCE9C0B723946D5B7FE5EC0E9,29416,18412,Adware,com.yxxinglin.xzid15599,FALSE
13135C6F4936FBFD13984F859A60D303D653ABB480D52FF3290C545C2373080D,25980,16207,Riskware,com.bgsg.ldd,FALSE
4EEB104BF2ABA59F12221D40F6623CB49CEC085BEC9319A4629F7AB507F377BB,4221,2657,Backdoor,com.ltcdisc.fun.flydisc,FALSE
0ED25E9D82F3B09EBD52EEF8B78C2915824E4F4D4DBD1EB5A3B7196032A608DB,28599,16239,Riskware,com.zq.yesg.aiqu,FALSE
7266DF94FB8F92C08E129E334978F3D0ECCA3DB2E54BFBAB6438D422E74918D5,27907,17393,Riskware,com.sskl.game,FALSE
5D95427CE631D3E138DB78C9AA7D281F24C1C273428CA8C249C2029AC3EAEB19,17300,10396,Riskware,com.jtgame.xyjqxlmv.niudaosy,FALSE
36687F70F9C314C0816FDC2C8B6BCF0B4FD4F76AF85CD509E719EF25815C384A,24201,15284,Riskware,com.game.tlqgb.hhsy,FALSE
1083FED1941985C9C23B6C44636D794DECECD51E0B28F4DB01A3E4E91A4417C3,17966,10764,Riskware,com.xmqtn.yueyou,FALSE
EC1F5DE91D968A75FCBA28AE5C2EF4A79AAEC1972A10BF644011FA3D4FA4E918,31355,19904,Adware,com.app.landmcafe,FALSE
E59EC538A5CAA9059AD4725D627758422D54EAF92635665BEEAE31A944194112,56102,37585,Backdoor,com.drawing.one.line.touch.stroke.maomao,FALSE
1C6B5CDF066AF85AAB5B4E4AC028AD8B2FAB2C3328EB4487ECCBB851A5436161,17517,9945,Backdoor,recetas.decocinafaciles,FALSE
8795C6A24626F2FE2A1962C9C02FC63C7C8A8D6DC130174EA1573913399ECC73,9204,5676,Adware,com.mpa.shamlola,FALSE
2FED370064E6CCB6E64014C5E55DEDE8F1B772B19AEC32694BE58CF3A3886472,24074,15206,Riskware,com.jyfsl.jlhd,FALSE
0BB995D535B156CBEB352446C0B2EC203979FA6EE1D748098C46A3963AEC91C7,43599,25368,Backdoor,net.keycarfob.fobkeycar,FALSE
70D9620044DA08EF29B5CC231C2AB5A99C95E407CA281A0AC367DB439BD55793,17343,12329,Adware,ru.dvfx.vilfoods,FALSE
85102AB0ED73B88484109B25C4A934B7894181D635F30AF95603CC45358B9454,13883,7775,Adware,sistemavitto.braza,FALSE
FBDD30B8970A90CC8854016DF5A69C8B74558E1E443E3ECB3A95402402ACDA2C,5436,3454,Adware,com.takeaway.cappios,FALSE
AF7BCA5E5C3A7167378D309862D38D2BB4A9AE6D3C146DF9F518911DF78951B7,22225,14925,Scareware,ad.kohgfg.grttggd,FALSE
07C1102956B997D772690640FF2B318C611FC28E8E8F283ED48654C0BD41BEA2,5785,3506,Adware,com.laalsa,FALSE
D6C72BD4ACA77277F59D194674716C722C14477A8E1042FC04CDB6CED4EB3E3A,33808,21340,Riskware,com.zw.ds6126,FALSE
1E1872D23848302DCF815DEBFC32601C4CD0AFCCAAF9C9C6AA4E30D412E3EA34,2739,1779,Adware,com.rodrigodiasweb.pointlanchesalvorada,FALSE
AE0BED8E8AE432FFE9B20393E0BC777F8DB43AC6F993918C9C0C8B3D19ACC200,3003,1981,Adware,com.punchh.mrpizza,FALSE
22A45D4CB8E330B505B669D2C62B5300BD65F3CE1C1FEF7853B2800691A11248,54154,37346,Backdoor,com.candywriter.bitlife.hack,FALSE
B1908D38E44242EECE0CC1D11E51CF482400977F110D8210FF9C12D7365AF743,19474,12363,Trojan,arrest.brush.lounge,FALSE
864E5E2A769E478A6EC43A8A8CF0988488F50A5B7BA7ECFB94D8F88B78386103,24613,16464,Backdoor,lite.magic.emoji.pho,FALSE
051DDEDC9456FEA930F44FF0054614AED9DDA652D95B5F51567ED5F68CA118D3,14093,9119,Adware,com.app_bellitaliapizzeria589.layout,FALSE
E148FD344275BE26600A3C46BD8E58922610D331AF273F9B841C1881417ED059,22128,14341,Adware,khaina.kuepernikahan,FALSE
1E83755D25D095732B89EDCEA8E0E24FC4896CDD89B25A5EB1D2AF5914037096,20655,12470,Riskware,com.jianwan.ydhm,FALSE
7B9B01EE1FB0D7E42C4A1C993D4FCB38D7673EEAFD6B1DD376F8B662579FBDEF,53006,36196,Riskware,cn.youth.news,FALSE
2C153080FB59344F9F854AB925B9CF546DB0A9B5E4A53C612623E56641526DBC,29091,19058,PUA,com.perception.soc.en,FALSE
515C686E363BC5BB3ED957DF803A010AE364C61EF92FE2A72A492026C28F61DC,36316,23367,Riskware,sogou.mobile.explorer,FALSE
1FDC1CE464E1EA34664DDA8ACAFA09B88BEEF6DC0D2E705270986A3A58E74883,2321,1396,Adware,com.app_codeha.layout,FALSE
0FB5D2FF050BC179B9E75EB6124AB09733C56AD4AB50DB1699DDC9CB977025C6,15795,9376,Trojan,com.yingxiao.bdcs.zyx,FALSE
246452DDEEAEDDC971391CEC5B34AE675A4496A95CBD300CD2E204A382EDFF8E,20039,12036,Riskware,com.bdhl.byh,FALSE
EA6B21193EF1FBBE5AA57F217EB7CAA79D688E4E04088C09C089926E187368EF,53009,35588,Scareware,com.wFreeMedicalNotes_10798323,FALSE
4F32837956EE9A727C5A817945BF7EF8B321FFF54FE7B31A9BE05A14CAE6D10E,47268,33738,Riskware,com.qihoo.appstore,FALSE
1CE37709FA34EDC482EC4BD3C5B9E6A2D7D06EDF8FDD58D16FB635DF5DAB6795,24212,15089,Riskware,com.xiaoaoxianxia.my,FALSE
E01E97F7441047C0EF1B3394EE9C77D814436C3ECE11E0781FA9920228FB44DF,34205,23330,Scareware,com.dcloud.CTIZETUWZY,FALSE
BFAFDA9E009DFF7BD32297E6891441C1701A8D7088436408B5933804C262246A,7875,5510,Scareware,com.bava_moulavi.malayalam_speech,FALSE
C083748C6CD536A9EE6BA734C031D6EE14341209ABB097AA76313418DCAE211A,53101,34010,Riskware,com.aheading.news.zjdali,FALSE
39524827FF7B96D230133060A4B8116A343E90744ED27C7A05B2FE5A7ED41CC6,24267,15132,Riskware,com.tyzzssblc.my,FALSE
